[2026-04-06 15:23:12] FILE: 295_VI_THUOC_LUC_LAC_BA_LA_TRON | ID: VI_THUOC_LUC_LAC_BA_LA_TRON | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-06 15:40:29] FILE: 322_VI_THUOC_DUA_CAN | ID: VI_THUOC_DUA_CAN | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-06 15:46:03] FILE: 333_VI_THUOC_HOT_MAT | ID: VI_THUOC_HOT_MAT | STAGE: 3 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 11:24:09] FILE: 62_VI_THUOC_BONG | ID: VI_THUOC_BONG | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 11:25:07] FILE: 67_VI_THUOC_RAU_NGOT | ID: VI_THUOC_RAU_NGOT | STAGE: 4 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 11:25:44] FILE: 90_VI_THUOC_CHI_THIEN | ID: VI_THUOC_CHI_THIEN | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 11:27:27] FILE: 94_VI_THUOC_HA_KHO_THAO | ID: VI_THUOC_HA_KHO_THAO | STAGE: 3 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 11:28:15] FILE: 99_VI_THUOC_MA_TIEN_THAO | ID: VI_THUOC_MA_TIEN_THAO | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 11:29:56] FILE: 108_VI_THUOC_BO_CU_VE | ID: VI_THUOC_BO_CU_VE | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 11:30:49] FILE: 112_VI_THUOC_CHO_DE_RANG_CUA | ID: VI_THUOC_CHO_DE_RANG_CUA | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 11:32:30] FILE: 115_VI_THUOC_KE_HOA_VANG | ID: VI_THUOC_KE_HOA_VANG | STAGE: 3 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 11:34:00] FILE: 126_VI_THUOC_RAU_MA_NGO | ID: VI_THUOC_RAU_MA_NGO | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 11:35:53] FILE: 163_VI_THUOC_VAN_NIEN_THANH | ID: VI_THUOC_VAN_NIEN_THANH | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 11:36:48] FILE: 166_VI_THUOC_CA_CHUA | ID: VI_THUOC_CA_CHUA | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 11:37:57] FILE: 168_VI_THUOC_DAU_GIUN | ID: VI_THUOC_DAU_GIUN | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 11:39:00] FILE: 176_VI_THUOC_XOAN | ID: VI_THUOC_XOAN | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 11:40:10] FILE: 203_VI_THUOC_VO_LUU | ID: VI_THUOC_VO_LUU | STAGE: 4 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 11:40:47] FILE: 208_VI_THUOC_HOANG_DANG | ID: VI_THUOC_HOANG_DANG | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 11:41:54] FILE: 214_VI_THUOC_CO_SUA_NHO_LA | ID: VI_THUOC_CO_SUA_NHO_LA | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 11:42:53] FILE: 226_VI_THUOC_GUNG_DAI | ID: VI_THUOC_GUNG_DAI | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 11:43:54] FILE: 230_VI_THUOC_MA_DE | ID: VI_THUOC_MA_DE | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 11:45:06] FILE: 242_VI_THUOC_NGHE | ID: VI_THUOC_NGHE | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 11:46:30] FILE: 253_VI_THUOC_CO_BO | ID: VI_THUOC_CO_BO | STAGE: 4 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 11:47:44] FILE: 257_VI_THUOC_MOC_TAC | ID: VI_THUOC_MOC_TAC | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 11:49:42] FILE: 265_VI_THUOC_LUOI_RAN | ID: VI_THUOC_LUOI_RAN | STAGE: 4 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 11:50:18] FILE: 266_VI_THUOC_DAY_CHAC_CHIU | ID: VI_THUOC_DAY_CHAC_CHIU | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 11:51:10] FILE: 267_VI_THUOC_THONG_BONG | ID: VI_THUOC_THONG_BONG | STAGE: 4 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 11:51:49] FILE: 279_VI_THUOC_GANG | ID: VI_THUOC_GANG | STAGE: 4 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 11:52:25] FILE: 283_VI_THUOC_RAU_OM | ID: VI_THUOC_RAU_OM | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 11:53:22] FILE: 290_VI_THUOC_MUI_TAY | ID: VI_THUOC_MUI_TAY | STAGE: 3 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 11:55:07] FILE: 322_VI_THUOC_DUA_CAN | ID: VI_THUOC_DUA_CAN | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 11:55:52] FILE: 333_VI_THUOC_HOT_MAT | ID: VI_THUOC_HOT_MAT | STAGE: 3 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 12:01:49] FILE: 346_VI_THUOC_TOI_DOC | ID: VI_THUOC_TOI_DOC | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 12:03:23] FILE: 351_VI_THUOC_CHO_CURARO | ID: VI_THUOC_CHO_CURARO | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 12:05:44] FILE: 356_VI_THUOC_LIM | ID: VI_THUOC_LIM | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 12:06:32] FILE: 358_VI_THUOC_MAC_KEN | ID: VI_THUOC_MAC_KEN | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 12:06:38] FILE: 358_VI_THUOC_MAC_KEN | ID: VI_THUOC_MAC_KEN | STAGE: 3 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 12:07:22] FILE: 361_VI_THUOC_GAI_DAU | ID: VI_THUOC_GAI_DAU | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 12:08:38] FILE: 366_VI_THUOC_DAY_THUOC_CA | ID: VI_THUOC_DAY_THUOC_CA | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 12:09:39] FILE: 370_VI_THUOC_SON_TRA | ID: VI_THUOC_SON_TRA | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 12:18:52] FILE: 385_VI_THUOC_HAT_TIEU | ID: VI_THUOC_HAT_TIEU | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 12:24:34] FILE: 394_VI_THUOC_NGU_GIA_BI | ID: VI_THUOC_NGU_GIA_BI | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 12:29:24] FILE: 404_VI_THUOC_BACH_BIEN_DAU | ID: VI_THUOC_BACH_BIEN_DAU | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 12:31:16] FILE: 407_VI_THUOC_THUONG_TRUAT | ID: VI_THUOC_THUONG_TRUAT | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 12:33:33] FILE: 410_VI_THUOC_MAM_XOI | ID: VI_THUOC_MAM_XOI | STAGE: 4 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 12:40:29] FILE: 421_VI_THUOC_NHUC_DAU_KHAU | ID: VI_THUOC_NHUC_DAU_KHAU | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 13:06:28] FILE: 466_VI_THUOC_THAU_DAU | ID: VI_THUOC_THAU_DAU | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 13:13:17] FILE: 479_VI_THUOC_VONG_GIANG_NAM | ID: VI_THUOC_VONG_GIANG_NAM | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 13:17:16] FILE: 487_VI_THUOC_DAU_COC_RAO | ID: VI_THUOC_DAU_COC_RAO | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 13:20:27] FILE: 491_VI_THUOC_LAC | ID: VI_THUOC_LAC | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 13:31:07] FILE: 511_VI_THUOC_THIEN_NIEN_KIEN | ID: VI_THUOC_THIEN_NIEN_KIEN | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 13:38:49] FILE: 529_VI_THUOC_QUANG_PHONG_KY | ID: VI_THUOC_QUANG_PHONG_KY | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 13:38:56] FILE: 529_VI_THUOC_QUANG_PHONG_KY | ID: VI_THUOC_QUANG_PHONG_KY | STAGE: 3 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 13:39:26] FILE: 530_VI_THUOC_CAC_LOAI_PHONG_KY_DUNG_O_VIET_NAM | ID: VI_THUOC_CAC_LOAI_PHONG_KY_DUNG_O_VIET_NAM | STAGE: 4 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 13:41:58] FILE: 533_VI_THUOC_TRUNG_CUOC | ID: VI_THUOC_TRUNG_CUOC | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 13:44:57] FILE: 537_VI_THUOC_HOANG_NAN | ID: VI_THUOC_HOANG_NAN | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 13:49:31] FILE: 547_VI_THUOC_VUOT_HUM | ID: VI_THUOC_VUOT_HUM | STAGE: 4 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 13:50:59] FILE: 549_VI_THUOC_RUNG_RUC | ID: VI_THUOC_RUNG_RUC | STAGE: 4 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 13:53:49] FILE: 554_VI_THUOC_BOI_LOI_NHOT | ID: VI_THUOC_BOI_LOI_NHOT | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 13:59:53] FILE: 564_VI_THUOC_LA_DONG | ID: VI_THUOC_LA_DONG | STAGE: 4 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 14:01:50] FILE: 567_VI_THUOC_CO_BAC_DAU | ID: VI_THUOC_CO_BAC_DAU | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 14:03:55] FILE: 571_VI_THUOC_BONG_NUOC | ID: VI_THUOC_BONG_NUOC | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 14:04:43] FILE: 572_VI_THUOC_MAM | ID: VI_THUOC_MAM | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
